,date,alt,lat,count,counter
71,2001-05-01 06:25:00,2184299.71111,3273.06888889,2.70266467963,45.0
72,2001-05-02 18:54:00,2375624.07143,3557.89285714,2.82213266095,42.0
73,2001-05-03 06:14:00,2408621.02381,3606.60714286,2.85533487897,42.0
74,2001-05-03 18:34:00,2387887.53488,3573.25581395,2.83710999012,43.0
75,2001-05-04 05:43:00,2539180.80488,3799.24878049,2.80682882157,41.0
76,2001-05-04 18:53:00,2513551.64286,3762.01666667,2.78222391694,42.0
77,2001-05-05 06:13:00,2672725.775,3999.5275,2.85075762717,40.0
78,2001-05-05 18:13:00,2708238.725,4053.115,2.79904294914,40.0
79,2001-05-06 07:12:00,2960287.08108,4431.12702703,2.86038861159,37.0
80,2001-05-06 18:22:00,2843509.15385,4258.39487179,2.80734803868,39.0
81,2001-05-07 05:32:00,2740094.09756,4099.82926829,2.87133418767,41.0
82,2001-05-31 21:23:00,2235861.94118,3346.97058824,2.61953490586,51.0
83,2001-06-01 09:54:00,2460164.42553,3686.67234043,2.54605198495,47.0
84,2001-06-01 20:50:00,2176994.92593,3259.1537037,2.61648864165,54.0
85,2001-06-02 07:22:00,2338048.2549,3505.27647059,2.55805625156,51.0
86,2001-06-02 19:22:00,2202991.23636,3299.14,2.63107897423,55.0
87,2001-06-03 05:54:00,2507278.34694,3757.54693878,2.52872492087,49.0
88,2001-06-03 18:33:00,2352890.49057,3522.96603774,2.62843058718,53.0
89,2001-06-04 05:21:00,2580331.57143,3864.41836735,2.53302957005,49.0
90,2001-06-04 20:01:00,2466156.44231,3690.62115385,2.63459461424,52.0
91,2001-06-05 06:25:00,2549302.11765,3816.98823529,2.55241394889,51.0
92,2001-06-05 18:40:00,2533472.88462,3794.38653846,2.62786364127,52.0
93,2001-06-06 07:20:00,2899118.95652,4340.69130435,2.5838874094,46.0
94,2001-06-07 18:39:00,2649482.29412,3966.74509804,2.59621976562,51.0
95,2001-06-10 18:54:00,2737756.38,4098.354,2.57563258063,50.0
96,2001-06-11 05:50:00,2719571.4902,4066.02156863,2.63818303582,51.0
97,2001-06-11 18:54:00,2603142.77778,3894.92777778,2.54159026788,54.0
98,2001-06-12 05:57:00,2964673.16667,4430.34375,2.62010101616,48.0
99,2001-06-12 19:01:00,2622360.96364,3918.65272727,2.58499687505,55.0
100,2001-06-13 06:29:00,2863095.68627,4272.43137255,2.63300482597,51.0
101,2001-06-13 18:53:00,2688669.54545,4013.35818182,2.62072668266,55.0
102,2001-06-14 07:24:00,2934792.58824,4377.39803922,2.63481404986,51.0
103,2001-06-14 19:56:00,2754672.78182,4112.54909091,2.56951780692,55.0
104,2001-06-15 06:52:00,3125216.65306,4665.27755102,2.63704409515,49.0
105,2001-06-15 19:00:00,2819639.25455,4209.34181818,2.56191871431,55.0
106,2001-06-16 07:23:00,3135733.78,4677.422,2.64682159883,50.0
107,2001-06-16 19:15:00,2884803.23636,4305.77090909,2.57206708322,55.0
108,2001-06-17 05:47:00,2919318.05455,4354.95090909,2.63798972278,55.0
109,2001-06-17 18:43:00,2954843.49091,4406.86363636,2.59390456137,55.0
110,2001-06-18 05:47:00,3284360.64,4898.21,2.6354745927,50.0
111,2001-06-18 19:22:00,2915772.89474,4346.79649123,2.63025010004,57.0
112,2001-06-19 05:30:00,3359303.1,5006.79,2.58835301737,50.0
113,2001-06-19 19:14:00,3088031.30909,4603.81272727,2.59572053795,55.0
114,2001-06-20 07:30:00,4176904.90244,6231.21707317,2.50360397662,41.0
115,2001-06-21 19:05:00,3091831.55357,4613.88571429,2.59790290872,56.0
116,2001-06-22 05:21:00,3643048.97917,5430.91041667,2.61920400856,48.0
117,2001-06-22 19:36:00,3156197.16071,4706.96607143,2.61050112686,56.0
118,2001-06-23 05:28:00,3715533.14583,5538.9375,2.65888398391,48.0
119,2001-06-23 19:36:00,3057276.54237,4558.72881356,2.5898047684,59.0
120,2001-06-24 05:20:00,3792264.66667,5655.17708333,2.59573992849,48.0
121,2001-06-24 19:04:00,3284895.10714,4896.85535714,2.64409398183,56.0
122,2001-06-25 04:55:00,3948799.0,5885.21914894,2.60925921041,47.0
123,2001-06-25 19:19:00,3180746.84746,4740.55254237,2.60389352073,59.0
124,2001-06-26 05:51:00,4026972.44681,6000.05319149,2.64003216958,47.0
125,2001-06-26 18:31:00,3606032.79245,5373.41886792,2.59301897559,53.0
126,2001-06-27 05:50:00,3857428.76,5743.39,2.64487168563,50.0
127,2001-06-27 18:54:00,3673834.4717,5470.02075472,2.60468194295,53.0
128,2001-06-28 05:26:00,4177739.10638,6218.44893617,2.6360350578,47.0
129,2001-06-28 17:58:00,3883202.17647,5784.95098039,2.56902115551,51.0
130,2001-06-29 07:49:00,4161349.10417,6196.18958333,2.60995343001,48.0
131,2001-06-29 16:45:00,5288982.55263,7882.82631579,2.54915307274,38.0
132,2001-06-29 18:53:00,15497088.1538,23090.1230769,2.65774519976,13.0
133,2001-06-30 05:57:00,4146311.16327,6174.81632653,2.64451205952,49.0
134,2001-06-30 20:21:00,3420561.61667,5096.17333333,2.5916870544,60.0
135,2001-07-01 06:52:00,4308953.35417,6421.97291667,2.61536960043,48.0
136,2001-07-01 19:48:00,3664229.7193,5459.99649123,2.56658738471,57.0
137,2001-07-02 06:52:00,4479441.04255,6673.2893617,2.59717419094,47.0
138,2001-07-02 19:24:00,3603278.50847,5370.6220339,2.54338289566,59.0
139,2001-07-03 05:40:00,4287328.92,6388.296,2.57921803545,50.0
140,2001-07-03 19:07:00,3666990.25424,5463.07288136,2.66141530445,59.0
141,2001-07-04 05:23:00,5066259.76744,7549.10930233,2.5466489208,43.0
142,2001-07-09 20:00:00,3924105.64286,5851.10357143,2.55100299512,56.0
143,2001-07-10 05:44:00,5026849.63636,7496.83636364,2.64776508869,44.0
